ritual_number,paragraph
11,"tuf, healing ritual, specialists reads Koran and spits on patient to restore health"
12,"Ordination of Buddhist priest. It occurs most often on Buddha's birthday, the eighth day of the fourth lunar month. No spectators are allowed. At the ceremony, three older priests preside, one as Chairman (Hwasangsa), one on his left as First Assistant (Kalmasa), and the other on his right as the (Kyosoosa) Exhorter, this last being evidently the one giving the pastoral charge. Seven ‘Chinsa,’ or witnessing priests take part, and there are about ten Ilyu, or serving men. The two hundred and fifty vows are asked, and made and the arm-burning seals it all. The newly ordained priest assumes the ‘kasa’ robe, a sort of toga that covers all of the body except the right shoulder and arm. This toga is made of about one hundred and twenty-five tiny bits of cloth, and usually has the names of the Four Heavenly Kings or Divas on the corners. The cloth is purposely torn into these small bits and sewn together again, so as to deprive it of all commercial value, and keep up the appearance of complete poverty even when the kasa is new."
13,"Public Worship and sermon. Whenever the members assemble for a worship-service, as they enter the building, each individual bows first and goes through a ceremony which they call ‘Yum Chun Yum Sa,’ ‘Think Heaven, Think of Matter.’ They have oral preaching in the services, but never have oral prayer. This silent bowing takes the place of it. It is an adoration of something, but of what it is difficult to say. There is chanting of a hymn or two from the Palpyunsa, the leaders often lining it out a line at a time, as they used to do in the Pilgrim Fathers' time, the audience repeating the line as sung. The sermon consists of a ten or fifteen minute address upon some moral subject or an exposition of some of their sacred book. Over and over during the service, they pause and Yum Chun Yum Sa. At the close of the meeting, a number of selected members of the congregation go forward and, dipping up some of the water in the bowl with spoons that are laid beside it, they drink it. The actual worship service is characterized by quite a degree of solemnity."
14,"Private worship. This may be carried out by any member of the cult at any time, but often occurs in the evening. No special paraphernalia is essential, but, if the believer wishes, he may take cement, clay and stones and erect in the private courtyard of his home a small altar. When he worships, he places upon the altar a bowl of clean water, and then, stepping to the south side of the altar, bows on his face in the direction across it towards the North Star, meanwhile repeating the magic Formula. If he desires, he may add free petitions to the words of the Formula, but the philosophically initiated do not, for they say, ‘In Nai Chun,’ ‘Man is God,’ and so there is no need of petitions. The Formula puts one en rapport with the Universe, and no more is necessary. One believer told me that the water was used as a mirror in which the Heavens appeared and that the worshipper, as he bowed, looked upon the surface of the water, and saw ‘Chun,’ ‘The Heavens.’ After the worship is completed, the worshipper drinks the water in the bowl, calling it the ‘cup of Divine favour.’"
15,
16,"Healing koot/ kut, possession ritual aimed at drawing spirit out of ill to eat. First, sacrificial blood is shed, of a chicken, or pig, or dog, and a generous meal of rice and other things with this meat is prepared. An awning is spread overhead covering the courtyard of the house, and thick grain-drying mats are spread over the ground. When the meal is ready, it is placed upon a small tablet and set out in the courtyard on the mats, and then the drums begin to sound, the pipes to wail and the Mootang to dance. She holds in her hands the sword or trident, or sometimes only a fan, and she postures and dances, calling out to the spirits from time to time and inviting them to join the revelry. Faster and faster she goes, whirling like a dervish, leaping high in the air. Her eyes flash wildly. Even the sound of her voice changes. People shrink away from her in fear. Sometimes, to help her, one of her assistants will take a basket and scrape upon it, making a sound like that which the boys make on the rocks along the river bank when they try to entice fresh-water crabs out from under big stones. On and on she goes, calling and calling to the spirits to come and join her, begging them to come, cajoling them with all sorts of promises, explaining the wonderful feast that has been prepared, reminding them of their friendship to her, teasing, joking, pleading. Sometimes she gets absolutely exhausted and falls down almost in a faint without getting any results. She lies still a while, and then arises and begins again, or a companion takes her place and they serve alternately, calling and calling. Sometimes the spirits are quite obdurate, and the Koot has to go on for days, usually when there is extra money to be had for the extra effort. New food has to be prepared if they go too long. The séances are mostly in the night and often last all night long. Sometimes they stop at morning time, and then go on the following night. Usually, sooner or later, a change comes, and she announces that the evil spirit has come out of the sick person and is partaking of the feast. Then she must use some device to persuade the spirit to go away after eating, and not to go back into the person who was ill. She does this sometimes by cajolery and perhaps more often with guile. Among her properties will be a small horse sometimes, made of woven straw. She will beg the spirit to mount the horse at the end of the meal, and, when he has done so, she will seize the horse, run out the door and throw it up into a tree or into a stream. The poor, simple-minded evil spirit cannot find his way back to the same house again, so the sick person gets well."
17,"These ceremonies are usually held in the Fall just after the harvest, but may be held once a quarter regularly and at other times of great calamity. The spirits supplicated are sometimes the gods of the mountains or neighborhood, sometimes come very near to Hananim alone. Seven days before the ceremony, the village has ameeting and elects from among the ‘clean’ men of the village one to be a Chief Shaman or Master of Ceremonies, Chei Kwan, one to be Prayer Reader, Chook Kwan, and several to be assistants. A bull without blemish is chosen, all of one solid colour, not spotted. For a week, the animal is carefully kept, immaculately clean and well fed. The men bathe, wear clean clothes, put bits of pine on each side of their front doors and a left-woven straw rope across it and red earth in front of it, to show any possible visitors that they are set aside and cannot do any business until after the sacrifice. They refrain from tobacco and liquor or fellowship with their families. No mourner or person defiled from touching a dead body is allowed to go near them. The night before the ceremony, a small booth is erected on an elevated point of land on the mountain-side, or, if it is Chunchei, on the plain; the bull is killed by the village butcher and the meat, and particularly the blood, is placed in the booth over night, before the gods. At cock-crow next morning, all of the men of the town assemble around the booth. The Shaman Master of Ceremonies and the Prayer Reader, clad in robes of ceremony, alone approach the booth, worshipping the spirit there. Then the Reader reads the prayer of the community, section by section, presenting petitions for good crops, for freedom from disease, for many sons, etc. After each section, the men assembled on the lower land around the booth respond with the sound, ‘A-eum, ’ equivalent to our word ‘Amen. ’ The Master of Ceremonies bows all during the reading, worshipping continuously. After the ceremony is over, the meat is divided among the villagers according to their several contributions. Part of it is taken down below the hill, cooked and eaten there in a sort of barbecue."
18,
19,"Ki-je, a ritual service at home on commemoration day. The direct lineal descendant, the master of ritual service, sits in front of the small table and burns the incense, which indicates the beginning of the service. He stands up a little behind the table, bowing deeply twice and then sits down again. He takes a glass of wine and pours the wine three times into the small bowls of sand or rice, which symbolize the meeting of heaven and earth or the descent of the ancestor spirit to the table. Everybody bows twice to the ancestor. The ritual master dedicates the first wine glass, after rotating it three times in the smoke of the incense. The dedication of the first wine glass is the most important right of the direct lineal descendent. A helper removes the cover of the rice bowl and puts the spoon and chopsticks on an empty bowl. All participants bow deeply twice. Next, a sentence is read in a loud voice paying respectful and affectionate tribute to the memory of the deceased ancestor. The second glass of wine is dedicated by the wife of the ritual master or by the second son of the ancestor. The action of the second is just the same as the first. After the dedication of the third glass by a relative of the third category, the spoon is placed on the rice bowl. Then follows the ancestor’s mealtime. A folding screen can be set between the table and ritual performers, or they leave the room for a short while. Thereafter, the folding screen is removed or the participants return to the room. The wife brings a bowl of water which is put on the table in place of the soup. All the participants bow deeply twice and then the ritual master announces the end of the service. The participants take a little of the food from the table or a glass of wine, to share the meal with the deceased ancestor. There are some noteworthy aspects to this ritual service. A peach cannot be used as a fruit on the ritual table; the spirit is considered left-handed; and the ancestor is served with wine whether he or she drank or not during life. The most important aspect of the ritual service is the sharing of food with the ancestor"
20,
21,Healing ritual
22,"Spring festival is called Ayy ysyaxa (“kumiss festival in honor of the ‘creators’ ”). During the summer, in olden times, every rich man arranged a kumiss festival, at which all members of the clan assembled and were entertained. Other people, and frequently whole clans, were invited; and during the festival, defensive and offensive leagues were concluded. Every such festival commenced with sacrifices, and was accompanied with songs, dances, games, horse and foot races, and other contests. The spring kumiss festival takes place in the open air. In the midst of a large smooth grass meadow a kind of altar is erected. This consists of two posts with a crossbeam, and three young birch-trees with young shoots on them. The altar is hung round with sacrificial horsehair, and on the ground in front of it are placed ornamented birch-bark and ox-hide barrels filled with kumiss. The skin barrels are tied to the altar-frame by long ornamented straps of soft elk-leather. The ceremony commences by sacrifices to Lord Bright-Creator and to other “creators.” Their names are uttered by the steward of the festival, who may be a shaman or an elder member of the clan. The sacrifices consist of libations of kumiss, in the direction of the dawn. The steward addresses a prayer to the “creators,” begging for blessings,—increase of horses and cattle, a good harvest of hay, good health for the people and animals, and an abundance of food. Then he takes the kumiss-festival ladle , and makes a libation, in the direction of the dawn, to the benevolent deities . Then, while making a libation to the ground, he addresses the local deity, “the owner of the place” ( än doidu iccitä ), asking him not to harm the inhabitants of the spot and the members of the clan. After that, the steward, with the help of the sacrificial ladle, proceeds to divine. He throws the ladle towards the sky: and if it falls with the front part upwards, it portends the granting by the deities of future abundance; and all the people utter the joyful cry Uru! Then the boys and girls give the goblets with the sacrificial kumiss, according to the directions of the steward, to the elder and honored members of the clan, both male and female. These, after placing themselves,—the men on the right and the women on the left of the altar,—drink off the kumiss from the goblets, and pass them on to the less important and the younger people"
23,"Ritual cleaning of the 'grove' involving possession by bonga (CPS) before Baha festival. In the early afternoon of the following day the priest is accompanied by the villagers in a singing procession to the sacred grove. On arrival there the same young men are again possessed and run away across the fields, being chased and brought back by the rest of the young men. The priest now assumes an attitude of great humility towards them. He receives them with a cloth tied round his neck in token of the submission of the village to the spirits. The hens are sacrificed and cooked in a hash with rice. The priest and his wife partake of one and the men of the village consume the rest of the food, after which everyone returns home except the priest."
24,"Naming ceremony, purifies community and means that religious festivals can be held. Name is chosen and announced. Midwife is paid for her services. The villagers all gather together in the courtyard, and first of all the barber—one of the villagers, a Santal—shaves the village officials, then all the men present and lastly the father of the child. The newborn child is then carried by the midwife to the barber, who cuts five locks from the child’s head: two from the front, one from each side and one from the middle of the back of the head. These locks are placed in a leaf cup pending their disposal. When the shaving has been completed the men go to the nearest bathing place and bathe themselves. On their return to the house the midwife takes all the women down to bathe, and she carries the arrow that was used for cutting the umbilical cord. Two pieces of string are attached to the arrow; one of these is used to tie up in a bundle the child’s hair, and at the bathing place the hairs are detached and floated away on the water. The second string is soaked in oil and turmeric and tied round the child’s waist; there it remains until it is worn out, when it is always replaced by another. When the women return from the bathing place the mother sips some cowdung and water that has been prepared by the midwife and rubs some of the mixture on her head. Then three leaf cups are filled with a paste made from sun-dried rice and water. The contents of one are sprinkled near the four legs of the string bed in the house, of the second on the breasts of the men, and of the third on the breasts of the women. Then a brew of nim leaves and water is brought out. This is very bitter, and the men to whom it is first presented generally make excuses to escape from having to sip it. All the women take some, out of sympathy, as they express it, with the mother, who drinks a cupful. She often continues to drink small quantities for several days, as it is supposed to aid the flow of milk. At this gathering beer is provided for everyone, and if the family can afford to do so they prepare a meal as well."
25,"Caco char, sometimes causal initiation/ purification ceremony, but necessary for Santal to marry and be cremated. The whole of the population of the village is invited for the ceremony, and each person must at the very least be given two cups of beer for each child on whose behalf the ceremony is being held. The feast for the whole village is not practicable except for a very few, and it is regarded as sufficient if the village officials are presented with a meal of rice and meat or chicken curry. If possible, the midwife who presided at the birth of the children bathes them in the courtyard by pouring water over them; and if she cannot, this is done by one of the old women present. Water is also sprinkled over the assembled guests. The jogmańjhi recites the myth of Santal origins; beginning from the account of the creation of the world and the founding of the clans, he brings the story up to date by leading to the birth of the children in the particular family with which the villagers are at that moment concerned. Then there follows a dance in the courtyard, and songs are sung in honour of the family."
26,"Dihri hunting ritual, averts misfortune during hunt. The Dihri enters the forest and being naked, pricks his whole body except the joints, with the thorn of a bush. He then draws a small circle on the ground with powdered rice and puts some adwa rice mixed with the blood which comes out from his body and makes a vermilion mark inside the circle. The Dihri then gives a little rice to all the forest bongas . Others who are following him, then enter the forest with bows and arrows."
27,"Telnahan, preliminary purification for funeral. Five days after the death, the ceremony of tel nahan (oiling and washing) is performed. The village men gather at the dead man’s house, wrap up a little grain, rice, and three pieces of country bread, collect from the house sufficient rice for a village meal and then assemble where the pot of the departed was buried. The man who mounted the pyre then disinters the pot with the ‘flowers of bone’, takes out the culm and pours the bones into the hands of the chief mourner. The latter wraps them in their original cloth and a little fire is made at the place where the pot was buried. As the flames leap up, the men say ‘The hut of the old woman is ablaze’ and the party move down to the end of the village. Here they meet the women. Some ebony sticks are tied together and stood up like a tripod. The pot is set down on the top and the man who mounted the pyre goes round it three times, strikes the pot with a fourth stick and smashes it to pieces. This dislodges whichever enemy has killed the dead one and who until now has dogged his soul. Then the chief mourner holds out the bones in his hand and the women rinse his clenched fingers with turmeric, milk and water. He then knots the bones into his waist and the men go on to a piece of water beyond the frontiers of the village. At this water the leader purifies a piece of ground, squats by the water, sets out five leaves and on each of them puts some grain and a piece of country bread. He then offers to Maran Buru, Porodhol, Pilcu Haram, Pilcu Budhi and to the dead, throwing into the water each leaf-plate in turn and addressing them ‘O Pilcu Haram, Pilcu Budhi, today we have brought the fallen one from the village. We are bringing him back to the shadow of his house. Do not let him linger outside. Do not lodge him under the eaves. Take him by the hand and guide him to his rest.’ ‘O fallen one, today we are bringing you to the shadow of your house. Do not dwell outside it. Do not linger under the eaves.’ The men then bathe and rub themselves with oil and after that, they buy some fowls or a pig with money given by the chief mourner. These must be bought outside the village boundaries and are eaten with the rice before the party returns. By consuming this feast, ‘in the presence of the bones,’ the mourners associate themselves with the dead and coax him to return. While the men are away, the women also bathe. After sundown, the men return to the village and assemble at the dead man’s house. Here the feet of the chief mourner together with those of his two companions are washed by the nearest female relatives and the ‘flowers of bone’ are consigned to a new receptacle. This is either the hollow handle of a new broom or a small but new earthen pot. The vessel of the departed is then taken inside a room and put up in the rafters beyond the reach of smoke."
28,"Jiling Dahar (going to the river Damodar with the bones), put bones and offerings in river. Deceased becomes acknowledged as an ancestor, a family bonga, but is not fully dead"
29,"Bhandan or Final Purification. Chief mourner and society are purified after death. Deceased returns as one participant becomes possessed, he is offered animal sacrifices. After this the flesh is brought out and the chief mourner again sits before the branch. He faces east holding a dismembered leg of the cow and the man then recites the traditions of the ancestors. This recital often lasts the greater part of the night and ends, ‘We have cleaned the head that was full of ashes and the mouth that oozed blood. he who was black as a crow is white as a swan.’ With this recital the chief mourner is purified. The villagers drink more rice-beer."
30,"Marriage ceremony, including speech by headman."
31,"Burial, officiated by priest"
32,"Funeral, banquet for the soul"
33,"“Buying back from the grave” ritual. If two members of a family happen to have been born in the same month of the year and one of them dies, it is believed that the other will die also within the year unless he is “bought back from the grave.” The living and the dead are chained together by the leg, and in that position the living one cries to a friend, “I pray thee in the name of God and St. John be my brother (or sister) and redeem the slave from the grave.” The friend replies that he will do so and unfastens the chain. The unchained person is then considered safe, and he and the one who “bought him back” are looked upon as brothers or sisters for the rest of their lives."
34,"Slava ceremony glorifies patron saint. Held by various social units; family, schools, army, trade guilds, villages. Priest pours wine on kolatch cake (which represents the self), prepared earlier by social unit (cake itself is a substitute for animal sacrifice) and cuts it in half. Prayers are said or sung, Holding the divided cake up the priest and the svetchar kiss it alternately three times, and after each time the cake is turned in their hands while the priest says, “Christ is in the midst of us,” and the assistant responds, “Now and for ever.”"
35,"Blessing of the Water. Hole cut in ice of river and altar constructed from ice. A service is held and the waters are blessed by the priest, who dips into it a silver cross. At the same time a number—perhaps a dozen—huge wooden bowls are filled with water, and this water is similarly blessed. From these bowls the people fill their bottles with the holy water, and this water, they say, keeps fresh for very long periods, long after other water becomes stagnant and stale. The blessing of the water is always attended by large crowds, and some of those present may be even so far carried away as to jump into the newly blessed river, clothed as they are and paying no heed to the temperature of the water"
36,"Death ritual; the first formal offerings for the dead coincide with the conclusion of their journey across the face of the earth, three or four days after death. These small death rituals often are held for the benefit not only of the most recently deceased but of all close relatives who have died within the previous few years. Each dead person is represented in the rituals by a small wooden cross, called “cross of the dead” ( kúrasi anayáwari ). These crosses are placed together inside or adjacent to the homes where the rituals take place or, if a larger ceremony is being performed, on the dance patio near the crosses and offerings for God. Necklaces bearing crucifixes or carved crosses sometimes are hung from them. The dead are said to arrive at these crosses in the company of other relatives from the afterlife, who share the food and beer with them and help carry the goods back to their homes. Participants drink and eat together, offering food and drink to deceased before procession leads deceased away from the domain of the living. This ritual is repeated 3 times for men and 4 times for women before the final death ceremony which should ideally occur 3 years after death for men and 4 or women."
37,"Final death ceremony, 'When we write with ashes'"
38,"Curing ritual including yúmari dance. Everything of importance, from crops to animals and people, must be cured annually to prevent harm from befalling it."
39,"Peyote Ceremony to cure the sick. in the cure of some sick person, tesgüino is made, a cow sacrificed, and lots of food prepared. As in other native fiestas, the dutubúri is danced on a patio that has three crosses. Matachines may also be danced in front of a special cross. At some distance to one side, there is a special patio for the peyote dance ( híkuli nawikébo ). Two crosses are placed here, one beside the jar containing the peyote, and one for God. Peyote is not dedicated to the four directions but is merely put in front of the two crosses for a time. At this patio for peyote, there is a hole into which one must spit and throw old cigarette butts. One must remove his hat and cross himself on approaching the patio . And one must ask permission to leave it. A quarter of beef is placed here, with all vitals included. The peyotero takes this beef in the end, in payment for his services. A big fire, around which the peyote dancers move, burns all night on the patio. Participants take peyote and dance all night. In the morning the dancing ceases. Food is served, and the tesgüino is dedicated. All the people eat before the shaman eats. Now the time has come to start the curing of the sick person. This may be done in various ways. The most common is that of marking crosses on the body with a crucifix dipped in tesgüino, while the shaman rasps and sings. At the end of the ceremony, the rasping stick is scraped over the head of the sick person or over the heads of all those to be cured, three times. Curative properties are attributed to the peyote as well as to the rasping stick. The patient has been served peyote along with the others. It is thought that during the night of dancing the peyote speaks words of encouragement and sings songs to him. To complete the curing, the shaman faces the sun and makes movements above and below the notched stick with the other stick. He repeats this three times. Everyone present drinks a bit of mixture (mescal in water) as a general protective measure. Then they all wash their faces and hands."
40,"Church fiesta of Guadalupe as it was performed in Samachique in 1930. Ritual lasts across 2 days, includes procession with candles, clearing of ground to sacrifice cow"
41,"Holy week feista, procession with image of Virgin Mary through specially prepared arches. Judas and Pharisees in mock battle, ceremonial wear and body painting, much dancing. Unclear what the exact purpose of the proceedings is, but proceedings have celebratory feel"
42,
43,"Native fiestas, Most include the idea of a ceremonial “curing.” Thus, they are performed for the curing of animals, fields, and people; for the prevention and cure of sickness; for the bringing of rain and for the dispersion of plagues; at ceremonies of birth and of death; for the curing of the church; and finally, for the curing of the first corn, beans, and other vegetables. They involve the killing of some animal and the dancing of the dutubúri on a specially prepared patio to the chanting of a shaman. All are occasions of drinking and feasting, and meat is seldom eaten at other times. Food and drink is dedicated in the four cardinal directions before it is consumed."
44,"The “curing” of fields and animals is the most important and the most complex of the native fiestas . The animals and the fields should be cured every year to avoid sickness, and especially to ward off the dreaded lightning. In Quírare, the people had become negligent in the curing of their animals, and a thunderbolt hit a corral full of animals, killing a large number of them. Thus, the next year everyone observed the ceremony. The following is a description of this fiesta as witnessed by Zingg in Quírare in April. In the late afternoon a cow was killed and the meat hung on a pole on the patio . The three crosses behind the table were draped with manta and hung with rosaries. The cures to be used were arranged in small bowls on the manta-covered table, while a pile of cedar branches and a bowl of tesgüino were placed below the table. Starting at dusk, two sawéames chanted the dutubúri and the women danced at intervals during the entire night. In the morning, food and tesgüino were served to everyone present. A blanket was folded on the ground behind the table, and a widow and her three children (who were giving the fiesta ) knelt on it. The shaman cured them by moistening their heads with a pine branch dipped in a mixture of sotoli ( seléke ) and mescal ( méke watusá ), and a mixture of ashes in water. Having cured each member of the family in this fashion (by making the sign of the cross and turning around once behind each one), the doctor made a ceremonial circuit of the patio, sprinkling the altar, and the people gathered around him. The cured family crossed themselves near the altar and toward the cardinal points. More tesgüino was then served. The men who were going to cure the fields and animals now lined up in the patio. The doctor marked crosses around the head and shoulders of each one from the front and back sides. After taking a drink of tesgüino, each man was given a bowl containing one of the cures and a pine branch for sprinkling it on. The doctor took a cross and led the procession in three ceremonial circuits of the patio, every man turning in a circle at each of the cardinal points. A violin and guitar furnished the music. The procession marched around the house, and then out to the fields and fruit trees, sprinkling the mixtures everywhere. While this was going on, the two sawéames continued chanting on the patio and several women danced the dutubúri. After the circuits of the fields had been made, the animals were driven together. The curers made three circles around them, sprinkling their mixtures. At each of the cardinal points, the sprinklers turned around and the shaman made a cross with his knife. Then all returned to the altar and made a ceremonial circuit. A fire was built among the cattle and an animal seized. A hot iron from another fire was used by the doctor to mark crosses on the animal’s head, shoulders, and hindquarters. He burned off a bit of hair which he threw to the winds. The animal was then sprinkled with the mixtures. It was not hurt by the treatment. After all the cattle and burros had been treated in this manner, cedar boughs were thrown on the fire, and the dense smoke which resulted was fanned toward the animals. (The burros were led individually through the smoke.) The family giving the fiesta again knelt on a blanket on the patio to be cured. The shaman lighted a corncob and made a circuit around the crosses, turning around before each change of position and making movements in the air with the burning cob. He cured the kneeling people with the burning cob by singeing a bit of hair on the top of their heads, and by making crosses around each one. He hung three of his bead rosaries on the kneelers and then continued marking an impressive series of circles and crosses with the burning cob. After he had taken back his rosaries, the cured ones again crossed themselves around the altar. The shaman took the blanket from the ground and raised it to the four directions. Then he took the cotton cloth from the crosses (leaving only the rosaries) and dedicated it to the four directions. All observers shouted: “Matétera ba.” A fire was now built on the dancing patio, and cedar boughs were brought to place on it, creating a thick heavy smoke again. Four women and three men held hands in a circle around the fire and danced in the choking smoke while the chanters hummed. Having circled the fire, they varied their performance several times by approaching close to it and retreating. Then the women kicked the fire to pieces and removed it from the patio . The dutubúri continued again. At the close of the curing, the women who had been dancing the dutubúri made a ceremonial circuit of the patio, crossing themselves. The men who had sprinkled the cures did likewise. All finished by saying, “Matétera ba.” . The ceremony was now over, and the customary drinking and merrymaking began."
